,Episode,Episode Total Reward,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
0,100,9472.275324088001,46.5,29.46,99.69,9.48,42.29,99.69,9.83,7.09,1.33,55.6,99.69,99.7,63.71,91.13,26.85,72.78,99.69,99.7,99.7,6.78,54.65,79.64,99.69,59.75,0.84,38.91,99.69,99.7,98.35,68.08,99.69,12.51,99.69,1.45,13.22,99.69,32.84,97.75,63.93,83.03,71.18,99.69,14.98,99.69,16.99,99.69,74.96,39.95,11.84,78.6,59.15,17.71,7.43,85.48,45.81,66.16,75.45,89.63,75.43
1,200,8518.798391142098,0.1,61.89,0.06,0.08,95.0,21.21,0.06,37.79,0.06,91.73,0.06,85.69,0.06,0.06,75.7,75.6,0.06,18.31,12.3,0.06,0.06,14.32,0.06,15.03,84.24,0.05,0.06,34.21,0.05,89.11,0.05,0.05,0.05,0.05,0.05,89.44,40.45,77.55,84.29,0.05,0.05,0.05,0.05,11.6,0.05,0.05,75.16,0.05,98.89,0.05,0.05,0.05,0.05,95.49,84.83,18.96,0.05,16.11,0.05
2,300,8597.840594622627,33.32,0.0,0.0,0.0,0.0,0.0,0.0,84.83,1.31,0.0,99.84,0.0,0.0,31.23,0.0,9.47,0.0,0.0,0.0,51.78,15.9,50.97,0.0,0.0,0.0,0.0,0.0,40.21,50.19,7.8,71.04,52.86,83.76,0.0,0.0,56.15,0.0,0.0,28.85,63.7,0.0,86.91,5.93,0.0,29.56,0.0,0.0,0.0,36.12,0.0,75.72,36.99,0.0,74.13,52.63,0.0,0.0,88.54,0.0
3,400,8941.753696456291,0.0,0.0,0.0,84.46,0.0,0.0,95.54,26.35,60.47,68.59,0.0,0.0,0.0,25.7,9.3,0.0,0.0,18.27,0.0,0.0,0.0,0.79,0.0,11.0,0.0,63.26,0.0,40.5,93.28,0.0,0.0,0.0,10.61,0.0,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.93,0.0,0.0,53.4,0.0,0.0,65.85,0.0
4,500,8537.567173584697,0.0,0.0,0.0,50.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.88,0.0,0.0,0.0,0.0,38.62,0.0,0.0,0.0,15.54,16.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.48,0.0,50.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.06,0.0,0.0,0.0,44.64,0.0,70.33,0.0,0.0,63.31,55.55
5,600,8514.571445888092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.07,0.0,0.0,0.0,41.65,0.0,88.8,43.42,58.78,26.32,0.0,0.0,0.0,0.0,0.0,40.5,0.0,37.94,86.69,46.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.98,0.0,0.0,0.0,0.0,0.0,84.65,0.0,61.63,0.0,0.0,0.0,0.0,0.0,0.0
6,700,8909.508452046704,0.0,0.0,0.0,59.73,0.0,0.0,55.63,0.0,24.23,0.0,0.0,0.0,0.0,0.0,20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.37,0.0,0.0,0.0,0.0,75.63,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,97.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,800,8674.360572308558,0.0,0.0,0.0,0.0,0.0,0.0,56.74,0.0,0.0,0.0,0.0,0.0,29.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.47,0.0,0.0,0.0,0.0,24.78,0.0,0.0,0.0,0.0,0.0,65.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,900,8518.119138197033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.33,0.0,0.0,0.0,0.0
9,1000,8639.556869248805,0.0,0.0,25.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1100,8583.179161314882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1200,8645.826730874145,66.02,0.0,14.92,0.03,4.12,0.25,0.65,0.15,0.05,0.03,0.01,0.01,0.01,0.0,0.0,85.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1300,8732.6296670749,99.97,0.0,99.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1400,8674.870601155275,99.95,0.0,91.33,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
