,Episode,Episode Total Cost,epsilon,Q1 Loss,Q2 Loss,Actor Loss,action_step0,action_step1,action_step2,action_step3,action_step4,action_step5,action_step6,action_step7,action_step8,action_step9,action_step10,action_step11,action_step12,action_step13,action_step14,action_step15,action_step16,action_step17,action_step18,action_step19,action_step20,action_step21,action_step22,action_step23,action_step24,action_step25,action_step26,action_step27,action_step28,action_step29,action_step30,action_step31,action_step32,action_step33,action_step34,action_step35,action_step36,action_step37,action_step38,action_step39,action_step40,action_step41,action_step42,action_step43,action_step44,action_step45,action_step46,action_step47,action_step48,action_step49,action_step50,action_step51,action_step52,action_step53,action_step54,action_step55,action_step56,action_step57,action_step58
10,1100,241.40394760047485,0.16617762246477263,"tensor(6069.9283, grad_fn=<MseLossBackward0>)","tensor(3.1896e+08, grad_fn=<MseLossBackward0>)",1.5186774384316513,48.7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.09,0.22,62.77,4.06,5.12,9.46,14.44,18.1,19.51,16.37,16.66,15.59,17.51,19.44,18.99,22.23,9.37,20.28,26.52,60.43,20.91,18.75,18.54,18.86,25.47,22.14,7.65,1.97,52.17,2.12,0.02,13.16,23.5,36.14,37.68,40.53,46.1,47.72,54.62,48.9
11,1200,314.7351386123436,0.1503562078321529,"tensor(3469.3747, grad_fn=<MseLossBackward0>)","tensor(49844671.0351, grad_fn=<MseLossBackward0>)",1.376436274847759,13.85,0.02,0.02,0.02,0.02,0.02,0.02,17.81,0.02,24.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,83.81,3.6,0.25,0.09,0.59,36.54,23.77,19.09,66.2,32.38,22.42,19.85,27.35,22.97,22.85,21.85,25.3,23.73,26.77,31.64,8.33,86.87,34.21,29.82,28.84,33.05,94.38,28.61,64.82,14.8,0.03,0.02,13.68,28.63,46.16,49.46,51.65,70.06,56.86,57.17,58.49
12,1300,63.512567626318415,0.1360411161163288,"tensor(936.8287, grad_fn=<MseLossBackward0>)","tensor(6564301.9293, grad_fn=<MseLossBackward0>)",2.1646918388627308,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,78.48,0.34,0.11,0.31,65.63,3.12,3.15,10.43,16.04,20.04,20.8,95.97,28.96,20.83,20.3,21.61,20.86,22.28,21.73,25.26,29.95,27.65,43.53,24.37,22.55,22.25,28.32,25.07,6.3,62.78,6.1,0.03,0.02,14.83,25.98,40.66,88.46,37.64,49.67,51.24,50.08,53.11
13,1400,251.4262323215506,0.12308893354663855,"tensor(2434.1961, grad_fn=<MseLossBackward0>)","tensor(53607559.8181, grad_fn=<MseLossBackward0>)",-0.09013887912867774,63.65,0.03,3.09,0.03,0.03,0.03,0.03,0.03,98.23,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.09,0.05,0.43,0.96,0.45,1.82,5.84,10.52,14.55,17.72,18.91,15.69,16.1,44.19,24.49,20.44,13.18,20.23,18.97,22.1,26.29,24.09,20.36,20.48,21.1,21.99,25.58,25.15,6.66,2.7,0.12,0.03,0.03,13.28,24.14,37.55,41.08,44.1,48.23,49.8,49.7,51.13
14,1500,297.75213761446724,0.11136990046959969,"tensor(5861.0289, grad_fn=<MseLossBackward0>)","tensor(3.2503e+08, grad_fn=<MseLossBackward0>)",-0.31035452544681114,0.02,0.02,0.02,0.02,0.02,0.02,0.02,15.17,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.13,0.07,1.65,2.89,1.84,4.42,11.61,20.58,28.04,33.38,35.13,29.96,30.72,29.21,32.17,34.78,33.32,38.41,5.56,34.09,44.49,38.97,25.22,29.68,30.44,30.09,41.02,31.67,9.18,5.48,0.71,0.03,0.02,25.02,27.85,51.71,43.52,49.74,61.04,58.88,57.14,80.11
15,1600,220.57951076401457,0.10076661136972916,"tensor(1221.9325, grad_fn=<MseLossBackward0>)","tensor(7569148.4973, grad_fn=<MseLossBackward0>)",4.044153161751715,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,2.77,1.27,4.95,6.41,5.29,60.14,17.33,17.55,20.05,23.21,24.31,20.44,21.13,19.84,22.14,24.02,22.96,26.69,23.94,27.41,31.81,28.38,22.9,23.02,23.46,23.69,29.32,26.15,14.25,9.75,6.6,0.44,0.02,18.28,26.92,39.74,39.42,67.8,50.32,52.43,50.8,54.78
16,1700,167.12952851152593,0.09117283865858988,"tensor(2141.0805, grad_fn=<MseLossBackward0>)","tensor(22876772.6840, grad_fn=<MseLossBackward0>)",1.8795663856196694,0.02,0.02,0.02,0.02,0.02,82.88,0.11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,4.02,3.97,3.04,5.89,71.44,12.64,10.68,13.23,16.36,19.53,20.67,16.89,17.5,16.25,92.12,32.46,21.5,23.42,20.31,23.79,28.58,25.05,70.11,23.31,21.58,21.38,26.2,24.18,13.65,9.18,7.23,1.42,0.02,15.34,31.72,40.79,42.25,45.8,54.48,56.33,54.85,59.03
17,1800,-41.37580038296576,0.08249246844835735,"tensor(2260.6919, grad_fn=<MseLossBackward0>)","tensor(50492826.3207, grad_fn=<MseLossBackward0>)",-0.5922100043813054,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,11.56,0.02,0.02,0.09,5.14,5.39,5.94,6.38,5.89,6.64,8.48,11.89,14.93,17.39,18.08,14.66,15.49,14.34,16.26,25.9,16.76,19.73,16.77,20.08,77.28,26.71,16.55,14.76,14.42,14.51,15.66,15.6,8.8,7.22,5.9,77.86,8.5,16.17,19.91,31.06,93.21,28.44,43.53,95.97,40.43,50.57
18,1900,273.45327410122286,0.07463853764809907,"tensor(1265.7038, grad_fn=<MseLossBackward0>)","tensor(11159158.0134, grad_fn=<MseLossBackward0>)",-0.29328925852401827,54.71,0.14,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.02,0.03,0.47,6.6,6.26,5.13,5.44,5.29,5.39,7.08,10.45,14.6,17.14,17.82,13.72,14.98,13.41,15.9,17.3,15.81,19.45,15.95,19.79,23.84,19.39,11.41,11.82,12.27,12.27,20.4,15.0,6.99,5.82,4.73,2.26,25.2,20.84,19.68,30.45,33.64,37.8,46.31,49.09,49.59,52.85
19,2000,203.8708256240722,0.06753236273605094,"tensor(1512.4824, grad_fn=<MseLossBackward0>)","tensor(11340824.4134, grad_fn=<MseLossBackward0>)",-0.011585920823743545,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.03,0.52,9.44,8.22,6.01,6.54,6.4,6.17,8.35,12.21,16.97,20.23,20.95,15.76,17.29,15.43,18.36,20.04,18.06,23.05,18.13,23.4,28.01,21.97,13.09,13.55,66.33,19.76,23.73,17.63,96.73,12.9,5.58,2.56,0.02,17.34,20.1,36.02,38.92,44.74,54.12,57.31,56.53,60.81
20,2100,244.26039920664945,0.061102751479613374,"tensor(601.2089, grad_fn=<MseLossBackward0>)","tensor(1121199.9218, grad_fn=<MseLossBackward0>)",0.5051176750906867,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.36,9.08,7.75,5.6,6.13,6.08,5.67,7.47,10.67,14.51,17.14,24.5,13.27,14.75,13.23,15.6,16.98,15.32,19.42,15.35,19.69,23.77,18.42,10.54,11.41,11.92,11.8,20.3,13.83,6.8,5.68,4.98,2.05,0.02,15.28,15.79,30.13,37.44,42.1,49.86,53.6,54.68,57.69
21,2200,239.41059863178583,0.05528528970579476,"tensor(3806.9307, grad_fn=<MseLossBackward0>)","tensor(1.5799e+08, grad_fn=<MseLossBackward0>)",0.4979002977899515,0.03,74.38,0.1,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,57.09,0.11,0.03,0.42,10.71,7.95,6.11,6.71,6.51,6.16,8.49,12.26,16.93,19.7,20.29,15.18,16.96,15.02,17.97,19.43,17.32,21.9,17.15,22.18,26.31,30.08,12.44,12.68,13.22,12.98,22.75,15.0,6.27,5.84,4.93,2.19,0.02,17.64,18.49,33.99,39.94,44.74,54.31,58.18,56.22,61.72
22,2300,192.14651222375352,0.050021695976709454,"tensor(1936.5079, grad_fn=<MseLossBackward0>)","tensor(22523734.8875, grad_fn=<MseLossBackward0>)",1.2522685909937417,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.03,42.66,0.03,0.03,0.03,0.03,0.03,0.33,15.19,9.27,7.24,7.72,7.66,6.8,8.33,11.32,15.17,17.95,18.45,13.58,15.21,13.48,16.15,17.56,59.76,24.14,14.92,20.74,25.54,18.53,9.9,11.55,11.91,11.68,21.36,47.09,9.18,5.08,6.74,2.83,0.02,16.21,17.0,37.62,48.95,50.74,67.97,64.85,62.71,70.47
23,2400,118.14086991662136,0.04525923770503614,"tensor(3218.5928, grad_fn=<MseLossBackward0>)","tensor(1.1776e+08, grad_fn=<MseLossBackward0>)",1.6697927698297024,0.05,0.05,0.05,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.35,26.14,9.27,11.71,10.79,10.33,10.5,13.97,18.06,23.84,27.95,28.21,19.92,23.6,19.91,25.03,26.51,22.95,31.3,21.72,31.72,38.87,29.19,14.44,17.7,17.77,17.31,32.31,24.1,6.8,8.79,7.13,41.59,2.84,25.7,34.74,58.79,50.14,61.47,78.68,73.36,70.75,79.39
24,2500,177.7433356198294,0.04095020285986938,"tensor(1674.0025, grad_fn=<MseLossBackward0>)","tensor(16302726.3230, grad_fn=<MseLossBackward0>)",0.49367504489796266,0.08,0.62,0.07,0.08,0.1,0.09,0.09,0.08,0.09,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.32,25.08,9.98,10.61,10.71,9.93,10.56,3.27,17.16,19.49,23.14,23.37,16.69,19.65,16.75,20.77,21.97,19.08,25.96,18.02,26.35,32.02,72.92,16.3,14.39,15.18,14.64,26.75,17.54,6.35,8.96,7.14,3.09,0.03,26.57,36.22,57.5,49.41,60.0,79.16,72.28,69.63,79.53
25,2600,108.61821545543305,0.03705142197032314,"tensor(1977.6610, grad_fn=<MseLossBackward0>)","tensor(23367989.9963, grad_fn=<MseLossBackward0>)",1.6347217808476115,0.07,0.06,0.07,0.08,0.1,0.09,0.08,0.08,0.08,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.28,24.74,9.58,10.64,10.88,9.82,11.2,12.47,13.19,16.48,18.65,18.76,13.85,16.2,13.91,16.88,17.62,15.41,72.32,25.6,17.51,25.37,15.99,9.82,12.65,12.03,11.86,21.12,10.55,7.68,6.88,8.17,3.76,0.03,21.06,17.7,32.58,47.14,54.19,72.61,68.9,65.49,76.89
26,2700,152.48916294204275,0.033523835638144754,"tensor(3288.7805, grad_fn=<MseLossBackward0>)","tensor(1.7829e+08, grad_fn=<MseLossBackward0>)",1.2271869444830998,0.09,0.08,0.08,21.49,0.06,0.12,0.1,0.1,0.11,0.08,0.07,0.09,0.07,0.07,0.08,0.07,0.28,32.95,7.72,17.68,11.35,13.18,16.45,18.95,20.86,24.5,28.44,28.0,19.5,24.39,19.8,25.58,25.73,21.89,32.3,18.46,33.64,38.84,23.78,12.48,19.48,16.07,16.91,32.59,22.63,5.37,15.78,5.23,2.01,0.05,36.65,43.18,66.24,51.67,65.68,86.2,77.54,74.82,85.79
27,2800,158.42150779649435,0.030332103226524087,"tensor(1069.5917, grad_fn=<MseLossBackward0>)","tensor(6472407.7325, grad_fn=<MseLossBackward0>)",-0.94551216735352,0.09,0.08,0.08,0.1,0.12,0.11,0.11,0.1,0.11,0.08,0.07,0.09,0.06,0.06,0.08,0.06,0.25,28.47,9.54,13.88,14.47,11.72,17.29,16.9,19.48,20.54,23.34,21.99,16.98,21.16,16.52,21.81,19.42,18.38,24.81,13.63,27.01,23.89,16.75,11.58,17.46,11.76,16.19,21.19,10.05,11.32,4.83,12.43,4.45,0.03,31.41,42.0,56.01,46.73,59.21,81.92,70.0,69.71,81.83
28,2900,60.03014311683497,0.027444248804801397,"tensor(1128.9282, grad_fn=<MseLossBackward0>)","tensor(3308428.7611, grad_fn=<MseLossBackward0>)",0.4072538120392748,0.18,0.16,0.17,0.19,0.23,0.21,0.2,0.19,0.2,0.16,0.14,0.17,0.13,0.14,0.16,0.14,0.49,34.71,9.07,17.8,13.31,14.4,88.01,25.66,15.13,23.52,21.45,22.87,17.21,21.33,17.17,21.59,19.47,18.34,23.57,14.14,25.35,23.14,16.51,12.64,17.55,12.05,16.94,19.8,33.89,8.0,10.91,7.47,4.89,0.05,30.74,44.09,53.96,47.94,57.0,84.03,68.2,70.89,80.14
